,factor_idx,cell_type_compared,"CL_A vs HC1, pval","CL_UA vs HC1, pval","SSC_A vs HC1, pval","SSC_UA vs HC2, pval","HC1 vs HC2, pval","CL_A vs HC1, pval adjusted (FDR)","CL_UA vs HC1, pval adjusted (FDR)","SSC_A vs HC1, pval adjusted (FDR)","SSC_UA vs HC2, pval adjusted (FDR)","HC1 vs HC2, pval adjusted (FDR)",factor,cell_type,population_size
1160,72,MDC,0.00010885069807715839,0.35052842271011697,0.27283645075628304,0.7520444192222602,0.08228230231357817,0.00026410749053086053,0.49954579611943695,0.38362148710459176,0.8427634415496693,0.2019761374080496,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1161,72,Melanocytes,0.05798275165129365,1.3012974372738188e-60,0.23439759178106145,0.09812535283692374,0.7920393064378054,0.08918986659567951,2.309363323648436e-59,0.339308216823271,0.1960640846148195,0.8890133497260239,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1162,72,NK,0.003654301360934855,0.21015961434287522,0.16899236281058583,0.0015142137563299819,0.09585870677713598,0.007203018780109116,0.3401011873515476,0.261323780348545,0.0050599013117057215,0.2261094686575192,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1163,72,Schwann Cells,0.8433772054739106,0.9989731497959257,0.4576657244791268,0.10450723670000624,0.2010703840776451,0.8757186124440507,1.0,0.5708777478836797,0.20461293864522279,0.37857445432253395,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1164,72,Smooth Muscle Cells,5.056219505186794e-08,0.34367464641556633,0.0343101076529433,8.743535706447203e-08,0.5388400899917316,1.630467836755447e-07,0.49352731482257245,0.06539586193792132,4.579241581851162e-07,0.7164077430338057,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1165,72,T,0.16806545475624024,0.14158524361168004,0.002172007983713161,0.11474892592979535,0.26799138602337536,0.22907139250698647,0.24684609515172762,0.0054022528117638425,0.2199912802588376,0.46073986678301604,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1166,72,Treg,0.0383768309550262,0.3999797651405438,0.4589057829916151,0.2547164379175866,0.8529370521585233,0.06199061900576649,0.5519027334602775,0.5721889575255054,0.4057081408068776,0.9179427033371693,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1167,72,pDC,0.00746294422625272,0.2042660344349192,0.13847671503211711,0.2328233516916538,0.8272593465627113,0.013996017858088374,0.331800743607575,0.2219091470603146,0.37770879136388436,0.9000814721404148,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1168,73,global,7.952287952624935e-14,0.05324674146413861,1.2873357566569772e-51,6.283682052115324e-12,2.5967111654570973e-19,3.352597802178073e-13,0.10786931465912847,1.432706510533708e-50,4.275671220176398e-11,7.794585001226363e-18,73-X-global-X-all_mTORC1_signaling,global,261290.0
1169,73,B_memory,0.4218052673520174,0.35525429422653587,0.4083006292914855,0.1598294544152632,0.9067744633405898,0.5009593193308043,0.5049109327846302,0.5260653174390245,0.28240300169639343,0.9458471516934308,73-X-global-X-all_mTORC1_signaling,global,261290.0
1170,73,CD4_T,6.2012354916916765e-15,0.183585045204816,0.7026131228422724,0.423648736362097,0.22965396340586886,2.7078212832798318e-14,0.304410430069728,0.7747327317990044,0.5851766531975008,0.4184433818144395,73-X-global-X-all_mTORC1_signaling,global,261290.0
